word,stage,action,reason,method,source,evidence,confidence,reversible,recheck_queued,category,decided_date
behind-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'behind' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'behind' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
bombed-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'bombed' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'bombed' attested by 6/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
brush-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'brush' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'brush' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
catch-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'catch' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'catch' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
cracker-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'cracker' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'cracker' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
deep-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'deep' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'deep' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
dum-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'dum' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'dum' attested by 4/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
dyed-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'dyed' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'dyed' attested by 6/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
harum-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'harum' is already a candidate on the invalid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'harum' attested by 0/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
hero-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'hero' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'hero' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
high-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'high' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'high' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
jaw-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'jaw' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'jaw' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
jim-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'jim' is already a candidate on the invalid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'jim' attested by 2/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
man-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'man' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'man' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
mop-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'mop' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'mop' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
pink-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'pink' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'pink' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
say-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'say' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'say' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
self-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'self' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'self' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
slam-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'slam' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'slam' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
two-,form-rules,delete_malformed,truncated fragment of a hyphenated compound; stem 'two' is already on the valid list,form_rule_audit_2026_08_16,scripts/word_validator.py,fails ^[a-z]+$; stem 'two' attested by 7/7 curated sources,high,yes,no,hyphenated-fragment,2026-08-16
across-the-board,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'acrosstheboard' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
ad-lib,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'adlib' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
all-embracing,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'allembracing' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
all-out,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'allout' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
and-death,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'anddeath' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
argus-eyed,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'arguseyed' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
avant-garde,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'avantgarde' is on the invalid list, attested by words_alpha",high,yes,no,hyphenated-compound,2026-08-16
back-to-back,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'backtoback' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
bang-up,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'bangup' is on the invalid list, attested by words_alpha",high,yes,no,hyphenated-compound,2026-08-16
beat-up,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'beatup' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
big-ticket,form-rules,delete_malformed,hyphenated compound; multi-token by the form rule,form_rule_audit_2026_08_16,scripts/word_validator.py,"fails ^[a-z]+$; concatenation 'bigticket' is on the invalid list, unattested",high,yes,no,hyphenated-compound,2026-08-16
