word,stratum,n_valid_sources,all_unlikely,pipeline_checks_passed,gemini_source,seed,rank_key
acidobacteriota,0,0,True,False,multi_thread_revalidation,20260814,04d128bfd92db0f6
allionia,0,0,True,False,multi_thread_revalidation,20260814,17a77bdc4e2fe470
caillette,0,0,True,False,multi_thread_revalidation,20260814,077108fde002ec46
carcinonemertidae,0,0,True,False,multi_thread_revalidation,20260814,17cd99a528f5300f
chainmaille,0,0,True,False,multi_thread_revalidation,20260814,0610a0ed675da86e
colling,0,0,True,False,multi_thread_revalidation,20260814,0c9962582aaa4256
collinsia,0,0,True,False,multi_thread_revalidation,20260814,0fdaab3c190a14b1
dactylellina,0,0,True,False,multi_thread_revalidation,20260814,0d63e527396487a4
demilled,0,0,True,False,multi_thread_revalidation,20260814,041abadf70f3ce45
dialkylphthalate,0,0,False,False,multi_thread_revalidation,20260814,08008c3c8249f938
djizya,0,0,False,False,multi_thread_revalidation,20260814,0ae14e96075c32f0
eastland,0,0,False,False,multi_thread_revalidation,20260814,13bf51d9bb2be977
eggflips,0,0,False,False,multi_thread_revalidation,20260814,02e3450d57ccffa5
endellionite,0,0,True,False,multi_thread_revalidation,20260814,0d80134d1ce501a6
meriones,0,0,True,False,multi_thread_revalidation,20260814,04ea5317f1b0c321
mobiliary,0,0,True,False,multi_thread_revalidation,20260814,0bd0ab9ba21e85df
mosstrooper,0,0,True,False,multi_thread_revalidation,20260814,128581591e6270ec
myxoamoeba,0,0,False,False,multi_thread_revalidation,20260814,17ff4bd056a47b90
n,0,0,True,False,multi_thread_revalidation,20260814,0b96cb3a9a44ceb9
newforms,0,0,False,False,multi_thread_revalidation,20260814,16cc528a1e2ba857
oncosuppressive,0,0,True,False,multi_thread_revalidation,20260814,128558d41365b406
palliasse,0,0,True,False,multi_thread_revalidation,20260814,117445dc7e99d636
periodinane,0,0,True,False,multi_thread_revalidation,20260814,0373dba3704d5c1e
periostraca,0,0,True,False,multi_thread_revalidation,20260814,098eed7b3e8e6e52
peripatetes,0,0,True,False,multi_thread_revalidation,20260814,07b3dc2dbd398959
phellinodes,0,0,True,False,multi_thread_revalidation,20260814,0901b8408546c9ad
photoirradiation,0,0,True,False,multi_thread_revalidation,20260814,16b04d83df79d4e1
piyyutim,0,0,True,False,multi_thread_revalidation,20260814,18073c1e9f50a362
poohpoohed,0,0,False,False,multi_thread_revalidation,20260814,0d508316abca2c92
portabellos,0,0,False,False,multi_thread_revalidation,20260814,11f12878bbdf6347
quinolinolate,0,0,False,False,multi_thread_revalidation,20260814,08807e19987e9696
quintilla,0,0,True,False,multi_thread_revalidation,20260814,150958b4eaba5afd
reballing,0,0,True,False,multi_thread_revalidation,20260814,011ef4c71b6cbe27
reliabilism,0,0,True,False,multi_thread_revalidation,20260814,0fd247345415a481
tefilin,0,0,True,False,multi_thread_revalidation,20260814,1638cc7f298b476e
tetramethylcyclopropanecarboxylate,0,0,False,False,multi_thread_revalidation,20260814,089e4862bf42edb5
tochilinite,0,0,True,False,multi_thread_revalidation,20260814,0d98f33496b9179d
torreya,0,0,True,False,multi_thread_revalidation,20260814,0b50fc9eca35053b
truebill,0,0,True,False,multi_thread_revalidation,20260814,027d92d80b0f73de
virgibacillus,0,0,True,False,multi_thread_revalidation,20260814,14c67533936b399c
abewt,1,1,False,True,enhanced_6thread_revalidation,20260814,00db0be046cd5ac3
acceptanda,1,1,False,True,enhanced_6thread_revalidation,20260814,03be33ce117d6be2
afucosylating,1,1,False,True,enhanced_6thread_revalidation,20260814,011960113711788c
alkyltrichlorogermanes,1,1,False,True,enhanced_6thread_revalidation,20260814,01223344a5f8dfe7
alkynyloxy,1,1,False,True,enhanced_6thread_revalidation,20260814,011ebf7d7735e9df
alugbati,1,1,False,True,enhanced_6thread_revalidation,20260814,044799c2885b3ac3
antigangliosides,1,1,False,True,enhanced_6thread_revalidation,20260814,02bbf888fdc4bc88
antijihadist,1,1,False,True,enhanced_6thread_revalidation,20260814,00b2dcb57456f85d
antikantian,1,1,False,True,enhanced_6thread_revalidation,20260814,03c85cabfd5ebb1c
antipromoting,1,1,False,True,enhanced_6thread_revalidation,20260814,01033710eed39f3f
antiswing,1,1,False,True,enhanced_6thread_revalidation,20260814,0344e9cae3428703
applauseful,1,1,False,True,enhanced_6thread_revalidation,20260814,03a9e55e558a867b
azoacetate,1,1,False,True,enhanced_6thread_revalidation,20260814,00abbd9e207e625e
beshoeing,1,1,False,True,enhanced_6thread_revalidation,20260814,024b939f3268734d
calycula,1,1,False,True,enhanced_6thread_revalidation,20260814,0335e417c2640c08
canovist,1,1,False,True,enhanced_6thread_revalidation,20260814,027182df2ff26c6b
caseflows,1,1,False,True,enhanced_6thread_revalidation,20260814,01d93a5e41bb9903
chainsmen,1,1,False,True,enhanced_6thread_revalidation,20260814,03f6ce1cde69408e
chalkish,1,1,False,True,enhanced_6thread_revalidation,20260814,0218cfd649e3211e
chemicopharmacological,1,1,False,True,enhanced_6thread_revalidation,20260814,002c8b76da8359dd
chlorgyline,1,1,False,True,enhanced_6thread_revalidation,20260814,02942b3201e9d1b0
chloroacetamidine,1,1,False,True,enhanced_6thread_revalidation,20260814,02eed820936d7e93
christianophobes,1,1,False,True,enhanced_6thread_revalidation,20260814,02ec0f33ce353850
cidering,1,1,False,True,enhanced_6thread_revalidation,20260814,03406878d4e23b0c
clingwraps,1,1,False,True,enhanced_6thread_revalidation,20260814,03e3376ca06481b1
clinicomorphologic,1,1,False,True,enhanced_6thread_revalidation,20260814,03d4e669b7fb6c6c
cockburs,1,1,False,True,enhanced_6thread_revalidation,20260814,03008353acc3ff85
coexistants,1,1,False,True,enhanced_6thread_revalidation,20260814,019e1228f8f84b0d
coldshouldering,1,1,False,True,enhanced_6thread_revalidation,20260814,037bc9fe9479baa2
compositives,1,1,False,True,enhanced_6thread_revalidation,20260814,03cc1fbf01b4c3b1
composticola,1,1,False,True,enhanced_6thread_revalidation,20260814,04719359307a73e6
compradoreships,1,1,False,True,enhanced_6thread_revalidation,20260814,038093cdf8c04fe0
conforcement,1,1,False,True,enhanced_6thread_revalidation,20260814,0280879da4f9335d
continualism,1,1,False,True,enhanced_6thread_revalidation,20260814,010c84bfc844d11f
contortively,1,1,False,True,enhanced_6thread_revalidation,20260814,0181634c1926f092
contumacye,1,1,False,True,enhanced_6thread_revalidation,20260814,049148334b0c7dfd
conuli,1,1,False,True,enhanced_6thread_revalidation,20260814,01203387f66c48de
coreligion,1,1,False,True,enhanced_6thread_revalidation,20260814,022c63cf3578d2ab
crotophagidae,1,1,False,True,enhanced_6thread_revalidation,20260814,047b187a14cfd3fb
crystallate,1,1,False,True,enhanced_6thread_revalidation,20260814,0348deb6987b52c8
crystallates,1,1,False,True,enhanced_6thread_revalidation,20260814,028c1f0020f798ea
cycloalkylbenzenes,1,1,False,True,enhanced_6thread_revalidation,20260814,00936f2d1c26b549
cycloarylene,1,1,False,True,enhanced_6thread_revalidation,20260814,0365baa408ab6319
cytopalynology,1,1,False,True,enhanced_6thread_revalidation,20260814,01af5598ff87e37b
dactylostomum,1,1,False,True,enhanced_6thread_revalidation,20260814,010dfb8c38d60eaa
damozelles,1,1,False,True,enhanced_6thread_revalidation,20260814,04155234d5d6145c
dedomestications,1,1,False,True,enhanced_6thread_revalidation,20260814,04285e0c667edc5a
defumed,1,1,False,True,enhanced_6thread_revalidation,20260814,00c52c22994d60fc
dendragopus,1,1,False,True,enhanced_6thread_revalidation,20260814,0474c3e89889d7fb
deplastified,1,1,False,True,enhanced_6thread_revalidation,20260814,021bf7ca19a2eb5a
dereeled,1,1,False,True,enhanced_6thread_revalidation,20260814,02e11905c8fb0664
dialkylthiophene,1,1,False,True,enhanced_6thread_revalidation,20260814,00257f1a17e50cd9
distichons,1,1,False,True,enhanced_6thread_revalidation,20260814,010ee1d5a2b51584
dithiopyridyl,1,1,False,True,enhanced_6thread_revalidation,20260814,02ed924735f7edd4
doublecrewed,1,1,False,True,enhanced_6thread_revalidation,20260814,03db11e0aa6ec622
downblasts,1,1,False,True,enhanced_6thread_revalidation,20260814,02d91f7b9984d1af
dripfeeding,1,1,False,True,enhanced_6thread_revalidation,20260814,0179e2ab5a6a221e
drycleanings,1,1,False,True,enhanced_6thread_revalidation,20260814,00d4a103719686db
dudleyas,1,1,False,True,enhanced_6thread_revalidation,20260814,01a2e652706e9f1f
dustbathes,1,1,False,True,enhanced_6thread_revalidation,20260814,021582a8088a0411
ecocommunitarianism,1,1,False,True,enhanced_6thread_revalidation,20260814,0330f3bb7ef92ae7
ecocrats,1,1,False,True,enhanced_6thread_revalidation,20260814,01a6581441b874ae
emendatrix,1,1,False,True,enhanced_6thread_revalidation,20260814,02b74f5679d691ea
erythrogenes,1,1,False,True,enhanced_6thread_revalidation,20260814,004b4d4a319e948f
esophagogastroplasty,1,1,False,True,enhanced_6thread_revalidation,20260814,01ec59f8caa12a7f
ethametsulfuron,1,1,False,True,enhanced_6thread_revalidation,20260814,002efbdff86b5a8f
geosimulations,1,1,False,True,enhanced_6thread_revalidation,20260814,032f982340fc0b5e
granulomatosa,1,1,False,True,enhanced_6thread_revalidation,20260814,01aed8da3e31bd8a
hardsolder,1,1,False,True,enhanced_6thread_revalidation,20260814,00db9cc3232a232d
hellstorms,1,1,False,True,enhanced_6thread_revalidation,20260814,014b9854fe030c01
hemitransfixion,1,1,False,True,enhanced_6thread_revalidation,20260814,03719168e084e187
holocoryne,1,1,False,True,enhanced_6thread_revalidation,20260814,01bec19a25decf8c
hydrazinopyrimidine,1,1,False,True,enhanced_6thread_revalidation,20260814,00825fb93497451d
islamicisms,1,1,False,True,enhanced_6thread_revalidation,20260814,005da56d72147371
maeandrinas,1,1,False,True,enhanced_6thread_revalidation,20260814,021d8b387f130360
melicopine,1,1,False,True,enhanced_6thread_revalidation,20260814,03664d7d34080dd6
